J-Date,Date,Weekday,Symbol,Open
1390-08-17,11/8/2011,Tuesday,سکه امامی,6060000
1390-08-18,11/9/2011,Wednesday,سکه امامی,6100000
1390-08-20,11/11/2011,Friday,سکه امامی,6100000
1390-08-21,11/12/2011,Saturday,سکه امامی,6170000
1390-08-22,11/13/2011,Sunday,سکه امامی,6180000
1390-08-24,11/15/2011,Tuesday,سکه امامی,6170000
1390-08-25,11/16/2011,Wednesday,سکه امامی,6180000
1390-08-27,11/18/2011,Friday,سکه امامی,6160000
1390-08-28,11/19/2011,Saturday,سکه امامی,6120000
1390-08-29,11/20/2011,Sunday,سکه امامی,6050000
1390-08-30,11/21/2011,Monday,سکه امامی,6000000
1390-09-01,11/22/2011,Tuesday,سکه امامی,6100000
1390-09-02,11/23/2011,Wednesday,سکه امامی,6150000
1390-09-04,11/25/2011,Friday,سکه امامی,6200000
1390-09-05,11/26/2011,Saturday,سکه امامی,6250000
1390-09-06,11/27/2011,Sunday,سکه امامی,6270000
1390-09-07,11/28/2011,Monday,سکه امامی,6050000
1390-09-08,11/29/2011,Tuesday,سکه امامی,5900000
1390-09-09,11/30/2011,Wednesday,سکه امامی,6000000
1390-09-11,12/2/2011,Friday,سکه امامی,6250000
1390-09-12,12/3/2011,Saturday,سکه امامی,6200000
